# tsumugu-ed public character form list · char	pinyin	gloss	parts(glyph=role:identity | ...)	form-zh · built 2026-08-26 from entries/chars
潺	chán	adjective — gurgling, of flowing water	氵=meaning:water | 孱=sound:chán — gives the sound	水（氵）配 孱（chán）——屋簷下三個小孩，孱弱。這字摹的是溪水淌過石頭那細細柔柔的響——潺潺、潺湲。它幾乎只用疊字「潺潺」，溪流不停的低吟。孱只借讀音 chán。
澆	jiāo	verb — to pour water on, irrigate, sprinkle	水=meaning:water | 堯=sound:yáo — gives the sound	水（水）淋下去——澆灌。堯（yáo）給聲音，y 磨成了 j。水從上頭落到東西上，就是澆：澆水、澆花、澆灌。
澈	chè	adjective — clear, transparent to the bottom	水=meaning:water | 徹=sound:chè — gives the sound	水（水）一眼看到底——清澈。徹（chè）給聲音，分毫不差。從一塵不染的水，引出凡是看到底、透到底的：清澈、澄澈、澈底。
澡	zǎo	verb — to bathe, wash (the body)	氵=meaning:water | 喿=sound:zào — gives the sound	水（氵）澆遍全身——洗澡。喿（zào）給聲音（只是落了聲調成 zǎo），畫的是一樹鳥鬧，正像洗澡的水聲。由此：洗澡、澡盆、澡堂。喿串起一排：操、燥、躁、噪。
澤	zé	noun — a marsh	水=meaning:water | 睪=sound:yì — gives the sound	水（水）積在低處——沼澤，還有它沾上萬物的潤澤光亮。睪（yì）給聲音，y 跨到了 z。從潤澤的光，引出恩惠：沼澤、光澤、恩澤。
澳	ào	noun — a sheltered bay, an inlet	氵=meaning:water | 奧=sound:ào — gives the sound	水（氵）藏進海岸深處的內凹——避風的港灣，船泊在裡頭躲風。奧給聲音 ào，連意思也帶著：幽深的內角，這裡成了海的一角。今天這個字代指澳門、澳洲。
激	jī	verb — to dash up	氵=meaning:water | 敫=sound:jiǎo — gives the sound	氵是水，沖到東西，整道濺起來；敫表聲。
濁	zhuó	adjective — muddy, turbid, foul	氵=meaning:water | 蜀=sound:shǔ — gives the sound	水（氵）配 蜀（shǔ）——一條蜷曲的蠶。泥沙把水攪得看不透——混濁、渾濁。那股污濁引申到一切骯髒的：濁世、濁音。讀音從 shǔ 滑成 zhuó。同一個 蜀 也在獨字裡，那邊配犬。
濃	nóng	adjective — thick, dense, concentrated	水=meaning:water | 農=sound:nóng — gives the sound	水（水）裝滿了東西——露水濃得掛住，液體稠密。農（nóng）給聲音，分毫不差。從稠液，引出凡是密而強的：濃湯、濃茶、濃霧。
濕	shī	adjective — wet, damp, humid	氵=meaning:water | 㬎=sound:shī — gives the sound	一邊是水（氵），一邊是㬎給聲音——絲線（絲）掛在太陽（日）下，就是「顯」字下半藏著的那塊。水加上它，寫成潮濕：潮濕、濕氣、濕透。
濟	jì	verb — to cross over	氵=meaning:water | 齊=sound:qí — gives the sound	水（氵）加齊（qí）的聲音——本是一條河的名字，濟水。渡過去是濟（同舟共濟）；把別人也渡過去，是救濟。經濟兩個字裡留著一句舊話：經世濟民。
濫	làn	verb/adj — to overflow	水=meaning:water | 監=sound:jiān — gives the sound	水（水）漫過邊緣——氾濫。監（jiān）給聲音，j 跨到了 l，本就盛著水：一隻眼俯看盆中。從漫出的水，引出凡是過度、不加選擇的：氾濫、濫用、寧缺勿濫。
濺	jiàn	verb — to splash, spatter	氵=meaning:water | 賤=sound:jiàn — gives the sound	水（氵）配 賤（jiàn）——賤的核心是 戔，兩把戈把東西剁小，這一族字都從它來。猛擊水面，水就碎成小珠四下飛——濺起、飛濺。讀音正好 jiàn。戔這個根直接露在淺、錢裡。
濾	lǜ	verb — to filter, strain	氵=meaning:water | 慮=sound:lǜ — gives the sound	水（氵）配 慮（lǜ）——虎頭（虍）下一顆思量的心。把液體倒過去，攔下不該過的——過濾、濾水。思量的意思正合用：濾就是分揀，留清的、擋住雜的。從這動作生出器物：濾紙、濾鏡。
瀑	pù	noun — a waterfall	水=meaning:water | 暴=sound:bào — gives the sound	水（水）從高處一下子摔下——瀑布。暴（bào）給聲音，b 硬成了 p。瀑布、飛瀑。
瀟	xiāo	adjective — (of water) deep and clear	氵=meaning:water | 蕭=sound:xiāo — gives the sound, the same 蕭 as the surname, given straight	水（氵）又深又清——瀟說的是清澈、從容的水。蕭（xiāo）原音直接給過來，沒磨。配成瀟灑，那清水的自在就成了一個人的姿態：灑脫、不受拘束。
灌	guàn	verb — to pour in, irrigate	氵=meaning:water | 雚=sound:guàn — gives the sound	水（氵）配 雚（guàn）——一隻瞪眼的鸛鳥，觀、歡也用它取聲。把水一股股倒進田裡，澆到土喝足——灌溉、灌田。從往容器裡倒引申，灌錄唱片、把道理灌進腦袋（灌輸）。同一個 雚 配缶就成了罐。
灑	sǎ	verb — to sprinkle, scatter, spill	水=form:water | 麗=sound:lì — gives the sound	水（水）甩出去，散成一片水珠——灑。麗（lì）給聲音，輾轉抄寫離今音已遠。從散開的水，引出凡是撒得開、放得開的：灑水、噴灑、灑淚。
灘	tān	noun — a shoal, sandbank, beach	氵=meaning:water | 難=sound:nán — gives the sound	水（氵）配 難（nán）——艱難。水淺的地方，河床就露出來——沙灘、灘頭，是行船難過的淺處。河上難走的那一段。讀音從 nán 滑成 tān。同一個 難 配手就成了攤，把貨攤開在地上。
灣	wān	noun — a bay	氵=meaning:water | 彎=sound:wān — gives the sound, and the bend itself	海岸彎（彎）進去的那塊水（氵）——灣。彎給聲音，一點沒變，也給畫面：岸線彎得像拉開的弓。台灣、港灣。
火	huǒ	noun — fire	火=form:a flame rising, two sparks at its sides, drawn whole	一道火苗往上竄，兩邊各濺一點火星——整個畫下來。進了別的字就壓成四點：黑、熱、照下面都是火（灬）。火車靠它跑，脾氣上來也是它：發火。
灰	huī	noun/adj — ash	又=meaning:a hand | 火=meaning:fire	一隻手（又）在火（火）上——火已熄滅，手可以伸進去撥那冷下來的殘餘：灰燼、骨灰。沒有聲符，兩半都表意。從灰的顏色得「灰色」，從一顆燒盡的心得「灰心」。
灸	jiǔ	noun/verb — moxibustion	火=meaning:fire | 久=sound:jiǔ — gives the sound	火（火）在下，久（jiǔ）在上給聲音——音完全對上，沒走樣。這個字是灸法：點燃艾草，貼著穴位久久地熏。火是燒，久既給聲音，也恰好畫出那份「久」。和針配成針灸。
災	zāi	noun — disaster, calamity	巛=meaning:a flooding river — three flowing lines | 火=meaning:fire	大水（巛，河水漫出三道流線）在上，火（火）在下——兩大破壞合成一個字：災難、天災。上有水患，下有火災，中間就是禍。從這場禍引申到周邊：災區、救災、災民。
炎	yán	adj/noun — blazing hot	火=meaning:fire | 火=meaning:a second fire, stacked above the first	一團火（火）疊在另一團火（火）上——焰上加焰，熱加一倍。從烈火，引出炎熱與身體的發炎：炎熱、發炎、肺炎。
炒	chǎo	verb — to stir-fry, sauté	火=meaning:fire | 少=sound:shǎo — gives the sound, worn from sh to ch	火（火）在鍋下，少（shǎo）給聲音——後來聲母由 sh 變硬成 ch。一點油遇熱，食材不停翻動：炒飯、炒菜、炒花生。
炮	pào	noun/verb — cannon, firecracker	火=meaning:fire | 包=sound:bāo — gives the sound	火（火）配包（bāo），b 硬成了 p：帶皮的肉裹著放進炭火——炮。後來那爆裂的火又把這字帶向火藥：大炮、鞭炮。炮製、大炮、鞭炮。
炸	zhà/zhá	verb — (zhá) to deep-fry	火=meaning:fire | 乍=sound:zhà — meaning and sound both	火（火）旁邊配「乍」（zhà），「乍」是「忽然」的意思。一瞬間發作的熱：油一下子把食物吞進去（zhá），或是毫無預警的爆裂（zhà）。乍既給聲音，也給那份突然。
為	wéi/wèi	verb — to do, to be	爫=meaning:a hand, reaching down | 象=meaning:an elephant — worn past recognition	一隻手（爫）牽著大象（象）的鼻子——把大象牽去做工。合起來寫的是做；幾百年抄下來，象被磨成下面那些鉤和點。讀 wèi，是替誰做：為了、為什麼。
烈	liè	adjective — fierce, intense, blazing	灬=meaning:fire — the four-dot fire under the character | 列=sound:liè — gives the sound	火（灬）在 列（liè）下——東西排成一列。一整排火燒到最旺——烈火、猛烈。從那股猛勁引申，凡是強的都烈：熱烈，以及不肯屈的剛烈、為之而死的烈士。讀音正好 liè。
烊	yáng	verb — to melt (metal)	火=form:fire | 羊=sound:yáng — gives the sound	左邊火（火）管熔化，右邊羊（yáng）給聲音，原音不變。火一燒，碰到的就化——金屬流了，糖軟了，冰成了水：烊化、熔烊。
烏	wū	noun/adj — crow	烏=form:rendered bare — a crow, drawn whole	整隻烏鴉的樣子。古字有兩種講法：一說它就是「鳥」字少了一筆——那一點是眼睛，因為烏鴉太黑，眼睛融進羽毛裡看不見了；一說是一隻鳥（隹）停在枝（枼）上，上頭一撇（丿）。由鳥到黑：烏黑、烏雲、烏鴉。
烤	kǎo	verb — to roast, bake, grill	火=meaning:fire | 考=sound:kǎo — gives the sound, exactly	火（火）在下，把上頭的東西烘乾烤黃——烤。考（kǎo）給聲音，分毫不差。一個晚近的形聲字：火管動作，考管讀音。由此：烤肉、烤箱、烤乾。
無	wú	adverb — to not have	無=form:a dancer holding long feathered plumes, arms spread	這字本來畫的是舞者張臂，手執羽飾——這個畫面後來歸給了「舞」。日常「沒有」借走了它，從此不還；舞者磨平成了今天的筆畫。如今只剩純粹的否定：無人、無法、無論。
焦	jiāo	adjective — scorched, burnt	隹=sound:zhuī — gives the sound | 火=meaning:fire (灬, the four dots beneath)	一隻短尾鳥（隹）架在火（灬）上，烤到焦——火所燒。隹（zhuī）也給聲音，磨向 jiāo，跟礁、樵、瞧同一系。從燒黑的鳥，凡是燒乾、燒黑的都是焦：焦黑、燒焦。火氣往心裡燒，心被烤乾就是焦慮、焦急。
焰	yàn	noun — flame, blaze	火=meaning:fire | 臽=sound:xiàn — gives the sound	左邊火（火），右邊那一塊給聲音。古文字有兩個說法：一說寫臽（xiàn）注音，xiàn 磨向 yàn——就是陷的臽，一個人跌進坑裡；一說焰是燄的異體，火加僉（qiān）注音。不管哪個，火焰都是火往上竄、往外舔的那一截——火焰、烈焰；放出去看熱鬧，就是焰火。
然	rán	particle — so, thus	灬=meaning:fire | 肰=sound:rán — gives the sound, exact	火（灬）在下面燒，肰表聲——燒，這是燃最早的寫法。文法把這個字借去說「如此」——雖然、然後、自然、當然；燒的意思另外再加一個火，寫成燃。
煌	huáng	adjective — bright, brilliant, blazing	火=meaning:fire | 皇=sound:huáng — gives the sound	火（火）是那道光，右邊皇（huáng）給聲音，原音不變——就是皇帝的皇。火光大亮，而且從不小氣：輝煌、煌煌，亮到最盛。
煎	jiān	verb — to pan-fry (in shallow oil)	火=meaning:fire (灬, the four dots beneath) | 前=sound:qián — gives the sound	火（灬）在鍋底，上頭前（qián）給聲音，聲母從 q 滑到 j。小火、一點油、加上時間——煎、熬：煎蛋、煎藥。慢慢熬也用在心上——煎熬，難受得拖很長。
煙	yān	noun — smoke	火=meaning:fire | 因=sound:yīn — gives the sound	火（火）升起灰色的氣——煙。因（yīn）給聲音，韻尾由 in 開成 an。從上升的煙，引出供人點燃的菸葉：煙霧、香煙、抽煙。
煞	shà	verb/adv — to halt, finish off	殺=sound:shā — gives the sound | 灬=meaning:fire, worn down to four dots underneath	殺（shā）壓在火上——灬，火墊在字底時磨成的四點。從殺意引出狠狠收住的勁：煞車、煞尾、兇煞。
煤	méi	noun — coal	火=meaning:fire | 某=sound:mǒu — gives the sound	火（火）配上餵火的黑石——煤。某（mǒu）給聲音，ou 收成了 ei。從燃燒的黑石，引出煤灰與煤礦：煤炭、煤灰、煤礦。
照	zhào	verb — to shine on	昭=sound:zhāo — gives the sound; carries 日 the sun inside | 灬=meaning:fire, flattened to four flames	下面是火（灬），昭表聲，昭裡本來就有日——把光打在東西上。
煩	fán	adjective — annoyed, vexed	火=meaning:fire, heat | 頁=meaning:a head (the 頁 radical — a person's head emphasised)	火（火）上了頭（頁）——發熱脹痛的腦袋，本義就是熱頭痛。從脹痛的頭長出煩躁、煩惱（心煩），再到麻煩。頁是「頭」的部首，也見於頭、顏、題。
煮	zhǔ	verb — to boil, cook in water	火=meaning:fire, worn to four dots underneath (灬) | 者=sound:zhě — gives the sound	火（火，墊底時成四點）燒著鍋——煮。者（zhě）給聲音，e 圓成了 u。凡是放進水火裡加熱的都是煮：煮飯、煮湯、煮菜。
熊	xióng	noun — bear	能=sound:a bear — the original picture, and the sound | 灬=form:the four dots beneath	能本來就是畫熊——頭、身、兩隻掌——可是這個字被借去當「能夠、能力」了。要把熊討回來，底下加了四點（灬）。古文字對這四點有兩個說法：是熊自己的腳，或是借火（火）來注音。不管哪個，熊就是住在山裡、冬天睡覺的那頭大獸。
熙	xī	adjective — bright, splendid, prosperous	灬=meaning:fire, drying and warming | 巸=sound:yí — gives the sound	火（灬）烘著、暖著——由暖生光，由光生盛：熙攘的人潮、康熙的盛世。巸（yí）給聲音，磨成了 xī，現在已看不出來。
熟	shú	adjective — cooked, ripe	孰=sound:shú — meaning and sound both | 灬=meaning:fire — four dots of flame under the pot	孰（shú）既給聲音又給本義——它原本畫的是一隻手（丮）捧著食物供品（享），把食物備好。後來「孰」跑去當「誰」，於是底下加火（灬）把「煮熟」釘住。由煮熟到成熟，再到熟記於心：熟食、成熟、熟悉。
熬	áo	verb — to simmer long	火=meaning:fire, worn to four dots underneath (灬) | 敖=sound:áo — gives the sound	火（火，墊底成四點）小小地燒著、久久地燉——熬。敖（áo）給聲音，分毫不差。那慢火又給了它另一層意思：硬撐過一段難熬的日子。熬湯、熬夜、熬煎。
熱	rè	adjective — hot	灬=meaning:fire, flattened to four flames | 埶=sound:yì — gives the sound	火（灬）在下，埶（yì）給聲音，磨到只剩 rè——熱。先是燙，再是一切火熱的：熱鬧、熱心。
燃	rán	verb — to burn, ignite, set alight	火=meaning:fire | 然=sound:rán — gives the sound	火（火）加在然（rán）上，聲音分毫不差——而然本就是「燒」的本字：肰（狗肉）放在火（灬）上。等然被借去當「如此」，便再添一把火，把火焰留住：燃燒、點燃、燃料。
燈	dēng	noun — lamp, light	火=meaning:fire, flame | 登=sound:dēng — gives the sound, exactly	火（火）舉高來照明——燈。登（dēng）給聲音，分毫不差，畫的又是登上高臺，正合燈架抬高的火。早先寫作「鐙」，用金（金），後來火（火）換上，專指油燈。由此：電燈、路燈、點燈。登串起一排：燈、蹬、澄。
燒	shāo	verb — to burn, set fire to	火=meaning:fire | 堯=sound:yáo — gives the sound, worn from y to sh	火（火）旁邊配「堯」（yáo），堯是高高堆起的樣子——它給聲音，後來由 y 磨成 sh。火苗順著堆高的東西往上燒：燒火、燒菜，還有身體裡升起的熱——發燒。
燕	yàn	noun — a swallow (the bird)	廿=form:the swallow's head, drawn flat across the top | 口=form:the body | 北=form:the two spread wings | 灬=form:the forked tail, worn to four dots	整隻鳥用筆畫描出來：扁扁的頭（廿）橫在上，身子（口），翅膀向兩邊張開（北），開叉的尾巴磨成了四點（灬）。合起來就是一隻飛燕。燕子、燕窩。
燙	tàng	adjective — scalding, burning hot	火=meaning:fire (beneath) | 湯=sound:tāng — gives the sound; hot water	熱水（湯）擱在火（火）上：水本來就燙，下面再加火——碰不得。湯（tāng）給聲音，聲調抬成 tàng。從燙傷說開：燙傷、燙手；凡是把熱壓上去的也是燙——燙髮、燙衣。
營	yíng	verb — to operate, manage	熒=sound:yíng — gives the sound | 呂=meaning:two enclosures (the 宮-like base)	底下畫的是圍起來的牆（呂/宮）——市場、住處，或紮下的營。上頭壓著兩個火加一個蓋（𤇾），是熒磨下來的，完整的熒看不見了。古文字對聲音有兩個說法：一說上頭的火光熒（yíng）注音（熒省聲），一說底下圍起的呂（lǚ）注音（呂省聲）。市居——人住下、圍起來：從營地說開，凡是經辦、維持的都是營：經營、營業、營養。
燥	zào	adjective — dry, parched, arid	火=meaning:fire | 喿=sound:zào — gives the sound	左邊火（火）把水逼乾，右邊喿（zào）給聲音，原音不變——一棵樹（木）上三張嘴（品）的鳥吵成一片。熱而不留一點水氣：乾燥、燥熱，空氣和喉嚨都乾。
燦	càn	adjective — brilliant, glittering, dazzling	火=meaning:fire | 粲=sound:càn — gives the sound; bright, gleaming	火（火）是那道光，右邊粲（càn）給聲音，原音不變——粲本身就是亮，舂得發白的米那種光。兩層亮疊在一起：閃爍奪目，燦爛、燦爛奪目。
燭	zhú	noun — a candle, a torch	火=meaning:fire | 蜀=sound:shǔ — gives the sound	火（火）舉起來照明——火炬，後來是蠟燭。蜀（shǔ）給聲音，sh 緊成了 zh，那「目下一蟲」的舊形已難辨認。蠟燭、燭光、洞燭。
爆	bào	verb — to explode, burst, pop	火=meaning:fire | 暴=sound:bào — gives the sound	火（火）一下子炸開——爆。暴（bào）給聲音，分毫不差。從一瞬間放開的火，引出凡是炸裂、突發的：爆炸、爆裂、爆發。
爍	shuò	verb/adj — to glitter, sparkle, flash	火=meaning:fire | 樂=sound:yuè — gives the sound	火（火）一明一暗地閃——爍。樂（yuè）給聲音，那音輾轉到今天已離得很遠。從那忽明忽暗的光：閃爍、光爍。
爐	lú	noun — a stove, furnace, brazier	火=meaning:fire | 盧=sound:lú — gives the sound	火（火）關進器皿裡好好燒——爐。盧（lú）給聲音，分毫不差，也帶來它自己的形：虍底下一個皿，黑黑的鍋。爐火、火爐、香爐。
爛	làn	adjective — soft-cooked, overripe, rotten	火=meaning:fire | 闌=sound:lán — gives the sound	火（火）把東西煮過了頭——軟爛、散開、壞掉。闌（lán）給聲音，聲調往下一掉；它是隸變後替下蘭的形。從煮透，又引出光亮：煮爛、腐爛、燦爛。
爨	cuàn	verb — to cook over a stove	臼=meaning:two hands holding a steaming pot | 冂=meaning:the mouth of the stove | 林=meaning:firewood, pushed in | 火=meaning:the fire underneath | 廾=meaning:two hands at the bottom, shoving	上面雙手（臼）端著鍋架在灶口（冂）上，下面兩隻手（廾）把柴（林）推進火（火）裡——整個燒灶煮飯的動作。
爬	pá	verb — to crawl	爪=meaning:a claw, a gripping hand | 巴=sound:bā — gives the sound, worn from b to p	上面一隻爪（爪）抓著，下面「巴」（bā）給聲音——聲母後來由 b 鬆成 p。用手抓著把身體拖過去：爬山、爬行、爬起來。
爭	zhēng	verb — to contend, fight over	爫=meaning:a hand reaching from above | 彐=meaning:a hand gripping from below | 亅=form:the thing between them — held fast	上面一隻手（爫），下面一隻手（彐），中間一根東西（亅）——兩邊都在拉；合起來寫的就是爭。搶東西是爭奪，搶著說是爭論，朝著目標搶是爭取。
父	fù	noun — father	又=meaning:a hand | 丨=meaning:the raised staff (or stone axe) the hand grips	一隻手（又）握著舉起的杖——掌家、執教者手中的權杖，就是父。整個字就是這手與杖，如今攤平成四筆。從父引申出對長者男子的敬稱。父也坐在爸、爺的頭上。
爸	bà	noun — dad	父=meaning:father | 巴=sound:bā — gives the sound	父（父）在上，巴（bā）在下給聲音，調子彎成 bà——把小孩口裡的那個字寫下來。照著叫法疊起來：爸爸。
爹	diē	noun — dad, father (colloquial)	父=meaning:the father — a hand gripping a staff | 多=sound:duō — gives the sound	上面是父——一隻手握著權杖；下面多（duō）給聲音，磨成了 diē。是叫爸爸的家常字：爹、爹娘、爹爹。
爺	yé	noun — grandfather	父=meaning:father (the hand-and-staff household head) | 耶=sound:yé — gives the sound	父（父）在上，標出家中長輩的意思；耶（yé）在下，只給讀音。本來指父親，後來升了一輩成祖父（爺爺），再放寬到受敬的長者男子（老爺）。耶串起：椰、揶。
爽	shuǎng	adjective — crisp, refreshing	大=meaning:a person standing arms spread | 㸚=meaning:crossed openings — the lattice marks at the sides	一個人（大）張開手臂站著，兩側嵌進㸚——交叉的格眼：光從縫裡透進來。說文說「明也」。身子被格窗照亮，就是明、是清、是通透的感覺：涼爽、爽快、清爽。
爾	ěr	pronoun — you	冂=form:an outer frame | 尒=sound:ěr — gives the sound, sunk into the frame	一道外框（冂）圈住尒（ěr），尒給聲音，分毫不差，只是已沉進筆畫裡。這字用作「你」，也作收尾的「如此」：爾後、莞爾、出爾反爾。
牆	qiáng	noun — a wall	嗇=meaning:grain stored under a roof, hoarded tight | 爿=sound:qiáng — gives the sound	屋下囤起的糧（嗇）——築牆正是要把它圈住、護好。爿給聲音，那塊剖板正是床、戕、莊一系的字根。從圈住空間的東西：城牆、圍牆、牆壁。
片	piàn	noun — a slice, flat piece	片=form:the right half of a tree 木 split down the middle	把樹（木）從中剖開，取右半——那片平板就是片，一薄片。整個字就是那半邊樹幹。從一塊薄木引申出任何薄平的東西：一片、相片、卡片。當部首，領著平板字：版、牌。
版	bǎn	noun — a printing block	片=meaning:a split half of wood, a flat board | 反=sound:fǎn — gives the sound	一塊平板（片）——刻來印刷的板。反（fǎn）給聲音，f 硬成了 b。從刻好的板，引出它印出的版本，再到事物的「版」：出版、版本、版權。
牌	pái	noun — a board, plate, sign	片=meaning:a split piece of wood, a flat board | 卑=sound:bēi — gives the sound	一塊剖開的扁木板（片）；右邊卑（bēi）給聲音，聲母從 b 滑到 p。板子掛起來給人看——招牌、門牌。切小了拿在手裡，同一塊板就是牌：撲克牌、麻將牌；板上刻的名號就成了品牌。
牙	yá	noun — tooth, molar	牙=form:rendered bare — upper and lower teeth, drawn locking together	牙齒咬合的樣子——上下兩排畫成交錯相扣，中間那一交叉就是咬緊的地方。本指後面的臼齒，後來泛指牙，再到一切像牙的東西：牙齒、象牙、刷牙。
牛	niú	noun — an ox, a cow	牛=form:an ox head face-on — horns up top, the long stroke down the muzzle	正面看的牛頭：兩角朝上彎，一豎直直畫過鼻樑。字到今天還露著角，當部首也到處借——物、特、牽都有牛。
牠	tā	pronoun — it (referring to an animal)	牛=meaning:an ox, standing for animals | 也=sound:yě — gives the sound	他、她、它一家都用也注音，換左邊那一塊來分對象：亻是男人，女是女人，宀是東西。牠換上牛——牲口——這個「它」就指向動物。也給聲音，跟著整家從 yě 磨成 tā。
牡	mǔ	adj/noun — male (of animals)	牛=meaning:an ox, cattle | 土=sound:tǔ — gives the sound here, not "earth"	左邊牛（牛）是牲口；右邊那一豎是「公」的記號，當聲音讀土（tǔ），聲母磨到 mǔ。牡是公的，跟牝（母的）相對：牡牛、牡丹。這裡的土只取音——不是看起來那個「土」。
牢	láo	noun/adj — a pen, fold	宀=form:a roof, the enclosing pen drawn over it | 牛=meaning:an ox, penned beneath	一頭牛（牛）關在帶頂的圈（宀）裡——養牲口的牢。從關得牢的圈，引出「牢固」與關人的牢獄：牢固、坐牢、亡羊補牢。
牧	mù	verb — to herd, graze livestock	牛=meaning:an ox | 攵=meaning:a hand with a stick — to drive	一頭牛（牛）配上一隻拿棍的手（攵）——把牲口趕出去吃草。從牧養牲口，引申到牧養百姓、治理：放牧、牧羊、牧民。
物	wù	noun — thing	牛=meaning:an ox | 勿=sound:wù — gives the sound	牛（牛），勿（wù）標聲音。牛是家產裡最大的一件——牛為大物——最大的東西，後來什麼東西都由它寫：物品、動物、人物。
牲	shēng	noun — livestock	牛=meaning:an ox, the beast | 生=sound:shēng — gives the sound, exact	一頭牛（牛）配上生（shēng），聲音分毫不差——而生（活、全）也帶進意思裡：一頭完好無缺、用來祭祀的牲。由此泛指家畜：牲畜、牲口、犧牲。
牴	dǐ	verb — to butt, gore (with horns)	牛=meaning:an ox — the horned animal that butts | 氐=sound:dī — gives the sound	牛（牛）低下頭；氐（dī）給聲音，調子抬成 dǐ。牛把角頂進去——牴、用角撞。兩邊頂頭相撞就是衝突：牴觸。它走氐這一排：抵、底、低。
特	tè	adj/adv — special, particular	牛=meaning:an ox | 寺=sound:sì — gives the sound	牛（牛）——本義是公牛，牛群裡最壯、一眼就挑得出來的那一頭。寺（sì）給聲音，磨得很遠；同一個聲旁也給了詩、等。從那頭與眾不同的牛：特別、特殊、獨特。
牽	qiān	verb — to pull, lead by a rope	牛=meaning:an ox, the beast on the rope | 玄=sound:xuán — gives the sound | 冖=meaning:the halter looped over — the cord that leads the ox	牛（牛）被繩子牽著走——韁繩（冖）套在脖上，一手往前拉。玄（xuán）給聲音，x 磨到 q。從牽牛：牽手，再到把人扯進來的牽連、牽涉。
犧	xī	noun — a sacrificial animal	牛=meaning:an ox | 羲=sound:xī — gives the sound	牛（牛）是那頭祭牲；右邊羲（xī）給聲音，原音不變——伏羲的羲。犧是牽到宗廟、毛色純全的整頭牲口——宗廟之牲。和牲合起來是犧牲：獻出去的祭品，再引申成為了大局捨棄的一切。
犯	fàn	verb — to violate, offend, commit (a crime)	犭=meaning:a beast, pressing in | 㔾=meaning:a person bent at the knee — the bound figure pushed against	一頭獸（犭）逼向一個彎膝跪著的人形（㔾）——越過界線，侵入。字裡那個跪人，就是被越過的那條界。一旦越界，凡是觸犯都算：犯罪、侵犯、冒犯、犯規。
狀	zhuàng	noun — shape, form	犬=meaning:a dog — the original was a dog's shape | 爿=sound:pán — gives the sound	一條狗（犬）的樣子——本義就是形狀、輪廓。爿（pán）給聲音，磨得很遠到 zhuàng，就是壯、莊、裝底下那個聲符。從輪廓長出泛指的形狀、所處的狀態，還有打官司的狀子。
狂	kuáng	adjective — mad, crazed	犭=meaning:a dog — a mad one | 王=sound:the worn shape of 㞷 (wǎng) — gives the sound	狗（犭）發了瘋——本義是瘋狗。右邊今天寫成王，其實是㞷（wǎng）磨平的樣子，給聲音——就是誑底下那個聲符。從瘋狗：瘋狂的瘋，狂風的狂，狂妄的放肆。
狐	hú	noun — fox	犬=meaning:a dog (犭, the standing-dog side) | 瓜=sound:guā — gives the sound	犭（犬）標出一頭四腳獸；右邊瓜（guā）給聲音，磨向 hú。狐就是狐狸。從狐狸多疑的名聲來：狐疑——那種放不下的猜忌，像戒心重的狐狸一步步試冰面。
狗	gǒu	noun — dog	犬=meaning:a dog (the 犭 radical — a dog standing) | 句=sound:gōu — gives the sound	犬部（犭，從犬）標出動物；句給聲音，gōu 磨成 gǒu——相對於泛稱的犬，狗是家犬。句是「鉤、彎」的部件，也見於拘、苟。由此：小狗、狗叫、熱狗。
狠	hěn	adjective — fierce, ruthless, savage	犬=meaning:a dog (犭) | 艮=sound:gèn — gives the sound	犭（犬）帶來一頭呲牙的獸；右邊艮（gèn）給聲音，磨向 hěn。露出牙、不鬆口的獸——兇、不留情：狠毒、兇狠。用在自己身上就是硬起心腸：狠心、狠下心。
狩	shòu	verb — to hunt	犬=meaning:a dog | 守=sound:shǒu — gives the sound	犬（狗）配守（shǒu）的聲——守住獵場的獵犬，後來就指打獵：狩獵、冬狩。守只借聲音，磨低一個調成了 shòu。
狹	xiá	adjective — narrow, cramped	犭=meaning:a dog — squeezing through tight ground | 夾=sound:jiā — gives the sound	狗（犭）擠在窄地——逼仄、狹小。夾（jiā）給聲音，j 磨到 x，就是峽、挾底下那個聲符。從擠迫：狹窄、狹小，過不去的狹路。
狼	láng	noun — wolf	犬=meaning:a dog — its wild cousin | 良=sound:liáng — gives the sound	像狗（犬）的野獸，尖頭白頰——狼。良（liáng）給聲音，只動了調，就是郎、朗、浪底下那個聲符。從這貪婪的獸：野狼，還有亂成一片的狼藉、狼狽。
猖	chāng	adjective — wild, unrestrained, reckless	犭=meaning:a dog, a beast | 昌=sound:chāng — gives the sound	犭帶來一頭脫了韁的獸；右邊昌（chāng）給聲音，原音不變——昌盛的昌。獸無人攔著亂跑——放肆、收不住：猖狂、猖獗，蔓延開來沒人擋得了。
猛	měng	adjective — fierce, violent	犬=meaning:a dog — a powerful, fierce one | 孟=sound:mèng — gives the sound	一條健壯的狗（犬）——說文說是「健犬」，所以兇猛。孟（mèng）給聲音，只動了調。從這壯獸：兇猛、勇猛，還有猛然、猛烈的那股衝勁。
猜	cāi	verb — to guess	犭=meaning:a dog — nose working, hunting a hidden thing | 青=sound:qīng — gives the sound	狗（犭）循著味追——本義是猜疑，嗅出藏起來的東西。青（qīng）給聲音，q 磨回 c。從嗅探：日常的猜測、猜謎，以及猜疑、猜忌的提防。
猴	hóu	noun — monkey	犭=meaning:a dog, a beast | 侯=sound:hóu — gives the sound	犭標出一頭獸；右邊侯（hóu）給聲音，原音不變——侯爵的侯。猴就是猴子，會爬、會叫、坐不住——頑皮猴，皮得很。
