# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
想念	xiǎngniàn	verb — to miss, to long for, to think of (someone absent) with longing	TOCFL 4
想法	xiǎngfǎ	noun — an idea, a thought, an opinion	TOCFL 2
想著	xiǎngzhe	verb phrase — to be thinking (about); thinking and keeping it in mind	TOCFL 1
想要	xiǎngyào	verb — to want; to wish for	TOCFL 1
想象	xiǎngxiàng	verb — to imagine; to picture in the mind; noun — imagination	TOCFL 5
想起	xiǎngqǐ	verb — to recall; to think of suddenly	TOCFL 4
想開	xiǎngkāi	verb — to come to terms with, to stop dwelling and let a worry go	TOCFL 5
惶恐	huángkǒng	adjective — frightened and anxious, in fearful unease	TOCFL 5
愉快	yúkuài	adjective — happy, cheerful, pleasant (of a mood or occasion)	TOCFL 3
意味	yìwèi	noun — implication, the flavor of meaning a thing carries; verb (意味著) — to signify	TOCFL 5
意味著	yìwèizhe	verb — to mean; to signify; to imply	TOCFL 4
意圖	yìtú	noun — intention, the aim behind an act; verb — to intend	TOCFL 5
意外	yìwài	adjective — unexpected; noun — an accident, a mishap	TOCFL 4
意志	yìzhì	noun — will; willpower; the resolve to do something	TOCFL 6
意思	yìsi	noun — meaning; an intention, a token gesture	TOCFL 1
意義	yìyì	noun — meaning; significance; value; purpose	TOCFL 4
意見	yìjiàn	noun — opinion; view; objection	TOCFL 3
意識	yìshí	noun — consciousness, awareness; verb — to be aware of	TOCFL 5
意識到	yìshídào	verb — to realize, to become aware of	TOCFL 5
意願	yìyuàn	noun — wish, will, willingness, what one wants to do	TOCFL 4
愚蠢	yúchǔn	adjective — stupid, foolish	TOCFL 5
愛人	àirén	noun — sweetheart, lover; (mainland usage) spouse, husband or wife	TOCFL 4
愛國	àiguó	verb/adjective — to love one's country; patriotic	TOCFL 3
愛好	àihào	verb/noun — to be keen on, to love (an activity); a hobby, a pastime	TOCFL 4
愛心	àixīn	noun — loving care; compassion; a kind heart toward others	TOCFL 3
愛情	àiqíng	noun — romantic love	TOCFL 4
愛惜	àixí	verb — to cherish; to treasure; to use sparingly out of care (time, things, oneself)	TOCFL 3
愛戴	àidài	verb — to love and revere (a leader, an elder)	TOCFL 5
愛滋病	àizībìng	noun — AIDS	TOCFL 5
愛護	àihù	verb — to cherish and protect; to care for (something/someone) and keep it from harm	TOCFL 4
感冒	gǎnmào	noun — a cold; verb — to catch a cold	TOCFL 1
感到	gǎndào	verb — to feel; to sense (an emotion or state in oneself)	TOCFL 4
感動	gǎndòng	verb — to be moved (emotionally); to touch (someone)	TOCFL 4
感受	gǎnshòu	verb — to feel, to sense; noun — a feeling, an impression	TOCFL 5
感性	gǎnxìng	adjective/noun — emotional, led by feeling; the sensory, feeling side	TOCFL 5
感恩	gǎn'ēn	verb — to feel grateful; to be thankful for kindness received	TOCFL 4
感情	gǎnqíng	noun — feeling; emotion; affection between people	TOCFL 4
感想	gǎnxiǎng	noun — one's thoughts and feelings (about an experience); reflections, impressions	TOCFL 3
感染	gǎnrǎn	verb — to infect, be infected; to catch (a disease); to influence, move (someone)	TOCFL 5
感激	gǎnjī	verb — to be deeply grateful; to feel moved by another's kindness	TOCFL 4
感興趣	gǎnxìngqù	phrase — to be interested (in something); to take an interest	TOCFL 3
感覺	gǎnjué	verb/noun — to feel; feeling; sense; impression	TOCFL 2
感觸	gǎnchù	noun — the feelings stirred in one by something seen or lived through	TOCFL 5
感謝	gǎnxiè	verb — to thank, to be grateful to; noun — gratitude	TOCFL 3
慈善	císhàn	adjective — charitable, benevolent (giving to help others)	TOCFL 5
慈禧	cíxǐ	proper noun — Empress Dowager Cixi, the woman who ruled late-Qing China from behind the throne	named-entity
態勢	tàishì	noun — the situation and the way it is trending; posture, stance	TOCFL 5
態度	tàidù	noun — attitude; manner toward something	TOCFL 4
慌張	huāngzhāng	adjective — flustered, panicked and scrambling	TOCFL 5
慎重	shènzhòng	adjective — careful and serious; cautious and deliberate (in a decision or matter)	TOCFL 4
慘重	cǎnzhòng	adjective — grievous, heavy (of losses, casualties)	TOCFL 5
慚愧	cánkuì	adjective — ashamed; feeling guilt over a fault or shortcoming	TOCFL 4
慢慢	mànmàn	adverb — slowly; little by little; gradually	TOCFL 1
慢用	mànyòng	phrase — please enjoy your meal; take your time eating (said by host or server)	TOCFL 3
慢跑	mànpǎo	verb — to jog; noun — jogging	TOCFL 2
慣例	guànlì	noun — a customary practice; the usual way things are done by convention	TOCFL 4
慫恿	sǒngyǒng	verb — to egg on, incite, talk someone into doing something	TOCFL 5
慰問	wèiwèn	verb — to console and inquire after; to comfort someone with kind words and ask how they are	TOCFL 4
慶典	qìngdiǎn	noun — a grand ceremony; a celebration	TOCFL 6
慶幸	qìngxìng	verb — to feel relieved and glad that something turned out well; to count oneself lucky	TOCFL 5
慶祝	qìngzhù	verb — to celebrate (a holiday, victory, milestone)	TOCFL 3
慷慨	kāngkǎi	adjective — generous, openhanded; also fervent, full of high feeling	TOCFL 5
憂鬱	yōuyù	adjective — melancholy, depressed; weighed down by lasting low spirits	TOCFL 4
憤怒	fènnù	noun — anger, fury; adj — furious, indignant	TOCFL 5
憧憬	chōngjǐng	verb — to yearn for, long for (a hoped-for future); noun — such a longing	TOCFL 5
憲法	xiànfǎ	noun — constitution; the fundamental law of a state	TOCFL 6
懂事	dǒngshì	adjective — sensible, mature; understanding how things work (esp. of a child)	TOCFL 3
懂得	dǒngde	verb — to understand, to know how to	TOCFL 4
應付	yìngfu	verb — to deal with, to cope with; to handle perfunctorily	TOCFL 5
應徵	yìngzhēng	verb — to apply for a job (or answer a call for recruits) in response to an advertised opening	TOCFL 5
應急	yìngjí	verb — to meet an urgent need, tide over an emergency; adj — for emergency use	TOCFL 5
應用	yìngyòng	verb — to apply; to put to use; noun — application; app	TOCFL 4
應當	yīngdāng	verb (modal) — should; ought to; must (moral or logical obligation)	TOCFL 3
應該	yīnggāi	modal verb — should; ought to; must	TOCFL 2
應變	yìngbiàn	verb — to react to a sudden change, handle a contingency on the fly	TOCFL 5
應邀	yìngyāo	verb — to accept an invitation; to attend at someone's request	TOCFL 4
應酬	yìngchóu	verb — to socialize as an obligation (banquets, drinks, small talk); noun — such a social engagement	TOCFL 5
應驗	yìngyàn	verb — (of a prediction, omen, or warning) to come true, prove correct in the event	TOCFL 5
懊惱	àonǎo	adj/verb — vexed and regretful, annoyed at oneself over something gone wrong	TOCFL 5
懦弱	nuòruò	adjective — cowardly and weak, lacking the nerve to stand firm	TOCFL 5
懶得	lǎnde	verb — to not feel like (doing); to be too unbothered to do something	TOCFL 4
懶惰	lǎnduò	adjective — lazy, idle, unwilling to put in effort	TOCFL 5
懶散	lǎnsǎn	adjective — slack and listless, idle and lacking focus or drive	TOCFL 5
懷中	huáizhōng	noun/locative — in one's arms; held against the chest	TOCFL 6
懷孕	huáiyùn	verb — to be pregnant; to carry a child	TOCFL 4
懷念	huáiniàn	verb — to miss and think back on; to long for a person, time, or place now gone	TOCFL 4
懷疑	huáiyí	verb — to doubt, to suspect; noun — suspicion	TOCFL 4
懸崖	xuányá	noun — a sheer cliff, a precipice dropping away under your feet	TOCFL 5
懸掛	xuánguà	verb — to hang, to suspend (from above)	TOCFL 6
懸殊	xuánshū	adjective — (of two things being compared) widely apart, vastly different in degree	TOCFL 5
戀愛	liàn'ài	noun/verb — romantic love; to be in a relationship, to date	TOCFL 3
成交	chéngjiāo	verb — to close a deal; to complete a sale or transaction	TOCFL 4
成人	chéngrén	noun — an adult; a fully grown person	TOCFL 4
成份	chéngfèn	noun — a component, ingredient; one of the parts that make up a whole	TOCFL 4
成全	chéngquán	verb — to help someone achieve a wish, step aside or pitch in so their hope comes true	TOCFL 5
成分	chéngfèn	noun — a component, an ingredient; one's social background	TOCFL 5
成功	chénggōng	verb/adjective — to succeed; successful	TOCFL 2
成品	chéngpǐn	noun — a finished product, the completed article off the line (as opposed to raw material or a half-made part)	TOCFL 5
成員	chéngyuán	noun — member	TOCFL 5
成天	chéngtiān	adverb — all day long; the whole day through (often of something tiresome or constant)	TOCFL 4
成就	chéngjiù	noun — achievement, accomplishment — verb — to achieve, to bring about	TOCFL 4
成效	chéngxiào	noun — the effect or result actually achieved by an effort; how well something worked	TOCFL 5
成敗	chéngbài	noun — success or failure, how an undertaking turns out (the two outcomes taken together)	TOCFL 5
成本	chéngběn	noun — cost; the money it takes to make something	TOCFL 5
成果	chéngguǒ	noun — achievement, fruits (of work)	TOCFL 4
成為	chéngwéi	verb — to become, to turn into	TOCFL 2
成熟	chéngshú	adjective — ripe; mature; verb — to ripen	TOCFL 4
成立	chénglì	verb — to establish; to found; to be valid (of an argument or organization)	TOCFL 4
成績	chéngjì	noun — result, achievement; grade, score	TOCFL 2
成衣	chéngyī	noun — ready-made clothing, garments mass-produced in standard sizes (as opposed to tailored)	TOCFL 5
成見	chéngjiàn	noun — a fixed preconception, a prejudice already settled before the facts	TOCFL 5
成語	chéngyǔ	noun — an idiom, set phrase (esp. the four-character idioms of Chinese)	TOCFL 4
成都	chéngdū	proper noun — Chengdu, capital of Sichuan province in southwest China	named-entity
成長	chéngzhǎng	verb — to grow up, to mature; noun — growth	TOCFL 4
我們	wǒmen	pronoun — we, us	TOCFL 1
我軍	wǒjūn	noun — our army, our forces (our own side in a war)	TOCFL 5
戒備	jièbèi	verb — to be on guard, take precautions and stand ready against trouble	TOCFL 5
戒指	jièzhi	noun — a finger ring (worn as jewelry)	TOCFL 4
或多或少	huòduōhuòshǎo	phrase — more or less; to some degree, one way or another	TOCFL 4
或是	huòshì	conj — or, or else (linking alternatives)	TOCFL 2
或者	huòzhě	conjunction — or, either … or; perhaps	TOCFL 2
或許	huòxǔ	adverb — maybe; perhaps	TOCFL 4
截止	jiézhǐ	verb — to close, to cut off (a deadline)	TOCFL 5
戰亂	zhànluàn	noun — the chaos and upheaval of wartime, the disorder war brings to ordinary life	TOCFL 5
戰勝	zhànshèng	verb — to defeat; to triumph over (an enemy, a fear, a difficulty)	TOCFL 6
戰友	zhànyǒu	noun — a comrade-in-arms, someone who fought alongside you (by extension, a close ally in any shared struggle)	TOCFL 5
戰國	zhànguó	proper noun — the Warring States, the era (c. 475–221 BC) when rival Chinese states fought for supremacy until Qin unified them	named-entity
戰場	zhànchǎng	noun — battlefield; the field of battle	TOCFL 5
戰士	zhànshì	noun — warrior; soldier; fighter	TOCFL 7
戰役	zhànyì	noun — a battle, a military campaign	TOCFL 6
戰後	zhànhòu	noun/time — postwar, the period after a war (esp. after WWII)	TOCFL 6
戰戰兢兢	zhànzhànjīngjīng	adjective — trembling with caution, walking on eggshells; fearfully careful for dread of a slip	TOCFL 5
戰機	zhànjī	noun — a warplane, fighter aircraft; also, the decisive moment in battle	TOCFL 6
戰火	zhànhuǒ	noun — the fires of war, the blaze of armed conflict spreading over a place	TOCFL 5
戰爭	zhànzhēng	noun — war; armed conflict	TOCFL 4
戰略	zhànlüè	noun/adjective — strategy; strategic	TOCFL 5
戰線	zhànxiàn	noun — a battlefront, a battle line; a front (of work or struggle)	TOCFL 6
戰術	zhànshù	noun — tactics; a tactical method	TOCFL 5
戰鬥	zhàndòu	verb — to fight, to do battle; noun — combat	TOCFL 6
戰鬥機	zhàndòujī	noun — a fighter aircraft, a warplane	TOCFL 6
戲劇	xìjù	noun — drama; theatre; a play	TOCFL 5
戲曲	xìqǔ	noun — Chinese traditional opera; sung musical theater	TOCFL 6
戶口	hùkǒu	noun — registered household and its members; the residence registration record itself	TOCFL 5
戶外	hùwài	noun/adjective — the outdoors; out in the open air, outside a building	TOCFL 4
房子	fángzi	noun — house; building	TOCFL 1
房客	fángkè	noun — tenant, lodger (one who rents a room or flat)	TOCFL 3
房屋	fángwū	noun — houses, buildings (the general term for dwellings)	TOCFL 3
房東	fángdōng	noun — a landlord, the owner of a rented home	TOCFL 2
房租	fángzū	noun — rent (for a house or room)	TOCFL 1
房間	fángjiān	noun — room	TOCFL 1
所以	suǒyǐ	conjunction — therefore; so; as a result	TOCFL 1
所在	suǒzài	noun — the place where something is; the location; the crux	TOCFL 6
所在地	suǒzàidì	noun — the place where something is located; the site; the seat	TOCFL 2
所屬	suǒshǔ	noun/adj — what one belongs to; affiliation; subordinate	TOCFL 5
所得	suǒdé	noun — what one gets; income, earnings (as in 所得稅, income tax)	TOCFL 5
所有	suǒyǒu	determiner — all, every; verb — to own, possess	TOCFL 1
所知	suǒzhī	noun — what one knows, one's knowledge	TOCFL 5
所說	suǒshuō	phrase — what (someone) says; that which is said	TOCFL 2
所謂	suǒwèi	modifier — so-called; what is called; what people call	TOCFL 5
所長	suǒzhǎng	noun — the head of an institute or office (director of a 所)	TOCFL 2
扇子	shànzi	noun — a (hand) fan	TOCFL 4
手上	shǒushàng	noun phrase — in hand; on hand; in one's possession	TOCFL 1
手冊	shǒucè	noun — a handbook, manual; a small booklet	TOCFL 5
手勢	shǒushì	noun — a gesture, hand signal	TOCFL 5
手套	shǒutào	noun — gloves	TOCFL 2
手工	shǒugōng	noun — handwork, handicraft; work done by hand rather than machine	TOCFL 4
手指	shǒuzhǐ	noun — a finger	TOCFL 4
手槍	shǒuqiāng	noun — a handgun, pistol	TOCFL 5
手機	shǒujī	noun — cellphone, mobile phone	TOCFL 1
手段	shǒuduàn	noun — means; method; measure; (sometimes) trick or stratagem	TOCFL 5
手法	shǒufǎ	noun — technique; the method or trick by which something is done	TOCFL 6
手續	shǒuxù	noun — procedure, formalities, the steps required to process something	TOCFL 3
手臂	shǒubì	noun — arm (shoulder to wrist)	TOCFL 5
手術	shǒushù	noun — surgery, a surgical operation	TOCFL 4
手表	shǒubiǎo	noun — a wristwatch	TOCFL 1
手裡	shǒulǐ	noun phrase — in one's hand; in one's grasp	TOCFL 1
手錶	shǒubiǎo	noun — a wristwatch	TOCFL 1
手電筒	shǒudiàntǒng	noun — a flashlight, torch	TOCFL 4
才智	cáizhì	noun — ability and wisdom; wits, intelligence	TOCFL 5
才能	cáinéng	noun — ability, talent	TOCFL 5
打仗	dǎzhàng	verb — to fight a war, to go to battle	TOCFL 3
打包	dǎbāo	verb — to pack up; to box up leftover food to take away, or bundle things together	TOCFL 4
打字	dǎzì	verb — to type (on a keyboard or typewriter)	TOCFL 4
打工	dǎgōng	verb — to work a casual or part-time job, to do hired labour	TOCFL 2
打手	dǎshǒu	noun — a hired thug, a strong-arm man, an enforcer	TOCFL 5
打扮	dǎban	verb — to dress up, doll up; to make oneself or someone look a certain way / noun — one's getup	TOCFL 4
打折	dǎzhé	verb — to give a discount, to sell at a reduced price	TOCFL 2
打招呼	dǎzhāohu	verb — to greet, say hello; to acknowledge someone with a word or gesture	TOCFL 4
打掃	dǎsǎo	verb — to clean, to sweep (a room, a house)	TOCFL 3
打擊	dǎjí	verb — to strike, to hit, to deal a blow; noun — a blow, a setback	TOCFL 5
打擾	dǎrǎo	verb — to disturb, bother; to interrupt or trouble someone	TOCFL 4
打斷	dǎduàn	verb — to interrupt; to break off (someone's speech or an action) / to break in two	TOCFL 4
打架	dǎjià	verb — to fight, to brawl (with fists)	TOCFL 3
打烊	dǎyàng	verb — (of a shop) to close for the day, to shut up shop	TOCFL 5
打牌	dǎpái	verb — to play cards or mahjong	TOCFL 5
打獵	dǎliè	verb — to hunt, to go hunting	TOCFL 5
打發	dǎfā	verb — to send someone off, to dispatch; to while away (time); to fob off	TOCFL 5
打破	dǎpò	verb — to break, to smash; to break (a record, a silence)	TOCFL 5
打算	dǎsuàn	verb — to plan, to intend; noun — a plan	TOCFL 2
打聽	dǎtīng	verb — to ask around, to inquire about, to find out (by asking others)	TOCFL 3
打賭	dǎdǔ	verb — to bet, to make a wager	TOCFL 5
打量	dǎliang	verb — to size someone up, to look over, to scrutinize	TOCFL 5
打針	dǎzhēn	verb — to give or get an injection; to have a shot	TOCFL 4
打開	dǎkāi	verb — to open, to turn on, to unfold	TOCFL 2
打電話	dǎdiànhuà	verb phrase — to make a phone call	TOCFL 1
打鬥	dǎdòu	verb/noun — to brawl, to fight; a fight, combat	TOCFL 5
托兒所	tuō'érsuǒ	noun — a day nursery, childcare center (for infants and toddlers)	TOCFL 4
扣除	kòuchú	verb — to deduct, to withhold (an amount)	TOCFL 5
扭轉	niǔzhuǎn	verb — to turn around, to reverse (a situation, a trend)	TOCFL 5
扮演	bànyǎn	verb — to play (a role); to act the part of, or fill a given role	TOCFL 4
批准	pīzhǔn	verb — to approve; to sanction; to authorize	TOCFL 5
批判	pīpàn	verb — to criticize, to repudiate; noun — a critique	TOCFL 6
批發	pīfā	verb/noun — to sell wholesale; wholesale trade	TOCFL 5
批評	pīpíng	verb — to criticize; to find fault with; noun — criticism	TOCFL 4
找到	zhǎodào	verb — to find; to have found (search succeeded)	TOCFL 2
找尋	zhǎoxún	verb — to search for, to look for	TOCFL 5
找錢	zhǎoqián	verb — to give change (after a purchase)	TOCFL 3
承包	chéngbāo	verb — to contract for, to take on (a job or project) as a whole	TOCFL 5
承擔	chéngdān	verb — to bear, to take on, to shoulder (a duty or cost)	TOCFL 5
承認	chéngrèn	verb — to admit, to acknowledge, to recognize	TOCFL 4
承諾	chéngnuò	verb — to promise; noun — a commitment one undertakes	TOCFL 5
技巧	jìqiǎo	noun — skill, technique, knack	TOCFL 3
技能	jìnéng	noun — a skill, a competency	TOCFL 5
技藝	jìyì	noun — a craft, a skilled art (esp. one needing practice)	TOCFL 5
技術	jìshù	noun — technology, technique, skill	TOCFL 3
抄襲	chāoxí	verb — to plagiarize, to copy someone else's work as one's own	TOCFL 5
抉擇	juézé	verb/noun — to choose (between weighty options); a hard choice	TOCFL 5
把手	bǎshou	noun — a handle, a grip (the part you take hold of)	TOCFL 5
把持	bǎchí	verb — to monopolize, to keep a tight grip on (power, control); to keep hold of (oneself)	TOCFL 5
把握	bǎwò	verb — to grasp, to seize (an opportunity); noun — certainty, assurance	TOCFL 5
抑制	yìzhì	verb — to restrain, to suppress, to hold in check	TOCFL 5
抓住	zhuāzhù	verb — to grab hold of, to catch and keep (a person, a chance, a point)	TOCFL 4
抓緊	zhuājǐn	verb — to grip tight; to seize (the time), to get right on it	TOCFL 5
投保	tóubǎo	verb — to take out insurance, to insure (oneself or property)	TOCFL 5
投入	tóurù	verb — to invest; to put into; to throw oneself into; adjective — absorbed; engrossed	TOCFL 4
投機	tóujī	verb/adj — to speculate (for quick gain), to play the angles; to hit it off, congenial	TOCFL 5
投票	tóupiào	verb — to vote, to cast a ballot	TOCFL 5
投訴	tóusù	verb — to lodge a complaint; noun — a formal complaint	TOCFL 4
投資	tóuzī	verb/noun — to invest; investment	TOCFL 4
投資者	tóuzīzhě	noun — an investor	TOCFL 5
投降	tóuxiáng	verb — to surrender; to give in	TOCFL 5
抗戰	kàngzhàn	noun — a war of resistance; specifically the War of Resistance against Japan	TOCFL 6
抗日	kàngrì	verb — to resist Japan; attributive — anti-Japanese (of war, era)	TOCFL 1
抗爭	kàngzhēng	verb/noun — to fight against, to protest, to struggle for one's rights	TOCFL 5
抗議	kàngyì	verb/noun — to protest; to voice strong objection to something seen as wrong	TOCFL 4
折合	zhéhé	verb — to convert to (an equivalent amount); to come out as, in another unit or currency	TOCFL 4
折扣	zhékòu	noun — a discount, markdown (off the original price)	TOCFL 4
折磨	zhémó	verb/noun — to torment, torture; to make someone suffer over time / prolonged suffering	TOCFL 4
折騰	zhēteng	verb — to toss back and forth, do over and over; to put through hardship, wear out	TOCFL 5
抬頭	táitóu	verb — to raise the head; to look up	TOCFL 5
抱怨	bàoyuàn	verb — to complain, to grumble, to gripe	TOCFL 3
抱歉	bàoqiàn	verb/adjective — to be sorry, feel apologetic; to regret having caused trouble	TOCFL 4
抱負	bàofù	noun — aspiration, ambition; the goal one carries within	TOCFL 5
抵制	dǐzhì	verb — to resist, boycott; to refuse and hold off	TOCFL 5
抵抗	dǐkàng	verb — to resist, to fight off; noun — resistance	TOCFL 5
抵押	dǐyā	verb — to mortgage, pledge (as security); noun — collateral	TOCFL 5
抵達	dǐdá	verb — to arrive at, to reach (a destination)	TOCFL 3
押金	yājīn	noun — deposit, security money (refundable money left as a pledge)	TOCFL 3
抽屜	chōuti	noun — a drawer (that slides in and out of a desk or chest)	TOCFL 4
抽查	chōuchá	verb — to spot-check, inspect at random	TOCFL 5
抽樣	chōuyàng	verb — to sample, take a sample; noun — sampling	TOCFL 5
抽空	chōukòng	verb — to find time, take time out (from a busy schedule)	TOCFL 5
抽象	chōuxiàng	adjective — abstract; verb — to abstract (draw out the general from particulars)	TOCFL 5
拉票	lāpiào	verb — to canvass for votes, solicit votes	TOCFL 5
拉肚子	lā dùzi	verb — to have diarrhea, to have an upset stomach (colloquial)	TOCFL 3
拉開	lākāi	verb — to pull open, pull apart; to widen (a gap, a distance)	TOCFL 4
拋棄	pāoqì	verb — to abandon, cast aside, throw away (a person, thing, or claim)	TOCFL 5
拍子	pāizi	noun — a beat (in music); a racket or bat (for striking)	TOCFL 5
拍攝	pāishè	verb — to shoot, film, photograph	TOCFL 5
拍照	pāizhào	verb — to take a photo	TOCFL 2
拍馬屁	pāimǎpì	verb phrase — to flatter, suck up to, butter someone up	TOCFL 5
拒絕	jùjué	verb — to refuse, to reject, to turn down	TOCFL 4
拖延	tuōyán	verb — to delay, drag out, put off	TOCFL 5
拖累	tuōlěi	verb — to be a burden on, drag down, encumber	TOCFL 5
拖鞋	tuōxié	noun — slippers, sandals (backless shoes)	TOCFL 2
招呼	zhāohu	verb — to greet; to call to, hail, or attend to someone	TOCFL 4
招待	zhāodài	verb — to receive and entertain (guests); to serve, to host	TOCFL 3
招手	zhāoshǒu	verb — to wave one's hand (to beckon, hail, or greet)	TOCFL 4
招牌	zhāopái	noun — shop sign, signboard; (figurative) a signature speciality or trademark	TOCFL 3
招生	zhāoshēng	verb — to recruit students; to enroll	TOCFL 6
招聘	zhāopìn	verb — to recruit; to hire (staff)	TOCFL 6
拜年	bàinián	verb — to pay a New Year call; to wish someone a happy (Lunar) New Year	TOCFL 4
拜拜	bàibài	verb — to worship (with offerings/incense); interjection — bye-bye	TOCFL 4
拜會	bàihuì	verb — to pay a formal call on, call on (officially or courteously)	TOCFL 5
拜託	bàituō	verb — to ask a favor of, to beg; interjection — please! (come on!)	TOCFL 4
拜訪	bàifǎng	verb — to call on, to visit (someone, formally/respectfully)	TOCFL 4
拳頭	quántou	noun — fist (the closed hand)	TOCFL 4
拼命	pīnmìng	verb — to risk one's life; adverb — desperately, for all one is worth	TOCFL 4
拿出	náchū	verb — to take out, to produce (something from a place)	TOCFL 4
拿手	náshǒu	adjective — good at, expert in, adept (at some skill)	TOCFL 3
持久	chíjiǔ	adjective — lasting, enduring, long-lasting; verb — to hold out over time	TOCFL 5
持平	chípíng	verb — to hold steady, stay level (unchanged); adjective — even-handed, fair	TOCFL 5
持續	chíxù	verb — to continue, to last; adjective — sustained	TOCFL 4
指出	zhǐchū	verb — to point out; to indicate; to draw attention to	TOCFL 4
指南針	zhǐnánzhēn	noun — a compass; (figuratively) a guiding principle	TOCFL 5
指定	zhǐdìng	verb — to designate, to appoint, to specify (a particular one)	TOCFL 4
指導	zhǐdǎo	verb/noun — to guide; to direct; guidance	TOCFL 4
指引	zhǐyǐn	verb — to guide, show the way; noun — guidance, guidelines	TOCFL 5
指控	zhǐkòng	verb — to accuse, charge (with wrongdoing); noun — an accusation	TOCFL 5
指揮	zhǐhuī	verb/noun — to direct; to command; to conduct (music); commander; conductor	TOCFL 5
指數	zhǐshù	noun — an index (a tracked number); exponent in mathematics	TOCFL 6
指望	zhǐwàng	verb — to count on, look to (for help); noun — hope, expectation	TOCFL 5
指標	zhǐbiāo	noun — indicator, index, target figure	TOCFL 6
指正	zhǐzhèng	verb — to point out and correct (errors); (polite) to offer one's comments	TOCFL 5
指示	zhǐshì	verb/noun — to instruct, to direct; instructions from above	TOCFL 5
指紋	zhǐwén	noun — a fingerprint	TOCFL 5
指著	zhǐzhe	verb — to be pointing at	TOCFL 4
指責	zhǐzé	verb — to censure, to reproach, to point the finger at	TOCFL 4
指頭	zhǐtou	noun — a finger (or toe)	TOCFL 1
指點	zhǐdiǎn	verb — to give pointers, show how; to point at and comment on	TOCFL 5
按摩	ànmó	verb — to massage; noun — massage	TOCFL 5
按時	ànshí	adverb — on time, on schedule, punctually	TOCFL 4
按照	ànzhào	preposition — according to, in accordance with, following (a rule or plan)	TOCFL 3
挑剔	tiāotī	verb — to nitpick, find fault; adjective — fussy, hard to please	TOCFL 5
挑戰	tiǎozhàn	verb — to challenge, to defy; noun — a challenge	TOCFL 4
挑選	tiāoxuǎn	verb — to pick out, to choose, to select	TOCFL 4
挫折	cuòzhé	noun — setback, frustration, a defeat that knocks you back	TOCFL 3
振動	zhèndòng	verb/noun — to vibrate; vibration	TOCFL 5
挽救	wǎnjiù	verb — to save, rescue (something slipping away); to retrieve a bad situation	TOCFL 5
捐款	juānkuǎn	verb — to donate money; noun — a donation, contribution	TOCFL 4
捐獻	juānxiàn	verb — to donate, contribute; noun — a donation	TOCFL 5
捐贈	juānzèng	verb — to donate, present as a gift; noun — a donation	TOCFL 5
捧場	pěngchǎng	verb — to show up in support; to cheer on, boost someone's act	TOCFL 5
捨不得	shěbude	verb — to be loath to part with, to grudge, to hate to (give up/spend/leave)	TOCFL 4
捨得	shěde	verb — to be willing to part with, to not grudge (spending/giving)	TOCFL 4
捷運	jiéyùn	noun — the metro, mass rapid transit (MRT)	TOCFL 2
授予	shòuyǔ	verb — to grant; to confer; to award	TOCFL 7
授權	shòuquán	verb — to authorize, to grant rights to; noun — authorization	TOCFL 6
授課	shòukè	verb — to teach a class, give instruction	TOCFL 5
掌握	zhǎngwò	verb — to grasp; to have command of (a skill, a situation)	TOCFL 5
掌聲	zhǎngshēng	noun — applause, the sound of clapping	TOCFL 4
掏出	tāochū	verb — to pull out, to fish out (from a pocket, bag, or hole)	TOCFL 5
排列	páiliè	verb — to arrange in order; to line up	TOCFL 5
排名	páimíng	verb — to rank, to be placed in order; noun — ranking, standing	TOCFL 5
排擠	páijǐ	verb — to push out, freeze out, edge someone aside	TOCFL 5
排斥	páichì	verb — to reject, to exclude, to repel	TOCFL 4
排球	páiqiú	noun — volleyball (the sport or the ball)	TOCFL 4
排除	páichú	verb — to remove, clear away, rule out (an obstacle, a possibility)	TOCFL 5
排隊	páiduì	verb — to line up, to queue	TOCFL 2
掙扎	zhēngzhá	verb — to struggle, strain against	TOCFL 5
掛號	guàhào	verb — to register (at a hospital); to send mail by registered post	TOCFL 2
掛號信	guàhàoxìn	noun — registered letter (mailed with a tracking number)	TOCFL 4
採光	cǎiguāng	verb — to let daylight in; noun — natural lighting (of a room, building)	TOCFL 5
採取	cǎiqǔ	verb — to adopt; to take (a measure, approach, or stance)	TOCFL 5
採用	cǎiyòng	verb — to adopt; to employ; to use (a method, approach, or technology)	TOCFL 5
採納	cǎinà	verb — to accept and adopt (a suggestion, opinion, plan)	TOCFL 5
採訪	cǎifǎng	verb — to interview; to gather news. noun — an interview	TOCFL 5
採購	cǎigòu	verb — to purchase (in bulk, for an organization); noun — procurement	TOCFL 5
探明	tànmíng	verb — to ascertain, find out for certain; to verify by investigation	TOCFL 6
探望	tànwàng	verb — to visit, call on (family, the sick, a friend)	TOCFL 5
探病	tànbìng	verb — to visit a sick person	TOCFL 5
探究	tànjiù	verb — to investigate, probe into, get to the bottom of	TOCFL 5
探索	tànsuǒ	verb — to explore, to probe into	TOCFL 6
探親	tànqīn	verb — to visit one's family/relatives (esp. after being apart)	TOCFL 4
探討	tàntǎo	verb — to explore, to investigate, to inquire into (a problem/topic)	TOCFL 4
探險	tànxiǎn	verb — to explore, venture into danger; noun — an expedition, adventure	TOCFL 5
接下來	jiēxiàlái	phrase — next, following this, in what comes after	TOCFL 4
